,collection_date,country,host_species,reassortant,state,strain_name,subtype
0,2010-09-01,Egypt,Chicken/Avian,False,Menofia,A/chicken/Menofia/CAI10/2010,H5N1
1,2007-10-27,USA,Goose/Avian,False,California,A/greater white-fronted goose/California/44358-095/2007,H6N1
2,2008-11-15,,Mallard/Avian,False,Sweden,A/mallard/Sweden/79423/2008,H4N2
3,2009-02-03,USA,Green-Winged Teal/Avian,False,Texas,A/American green winged teal/Texas/A00604032/2009,H7N3
4,2007-12-05,USA,Northern Shoveler/Avian,False,California,A/northern shoveler/California/HKWF1199/2007,H3N5
5,2008-08-06,USA,Mallard/Avian,False,Maryland,A/mallard/Maryland/08OS1377/2008,H1N1
6,2011-03-09,China,Duck/Avian,False,Guangdong,A/duck/Guangdong/S1155/2011,H6N6
7,2011-07-20,,Ostrich/Avian,False,South Africa,A/ostrich/South Africa/AI2512/2011,H5N2
8,2010-09-10,Canada,American Black Duck/Avian,False,Nova Scotia,A/American black duck/Nova Scotia/00092/2010,H1N1
9,2009-08-20,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM12066R1/2009,H3N8
10,2011-10-16,USA,Mallard/Avian,False,Wisconsin,A/mallard/Wisconsin/11OS3422/2011,H11N9
11,2008-09-08,USA,Blue-Winged Teal/Avian,False,Missouri,A/blue winged teal/Missouri/A00624483/2008,H7N3
12,2009-10-20,China,Chicken/Avian,False,Hunan,A/chicken/Hunan/C3247/2009,H9N2
13,2009-08-09,Canada,American Black Duck/Avian,False,New Brunswick,A/American black duck/New Brunswick/03398/2009,H3N8
14,2010-08-25,Canada,Blue-Winged Teal/Avian,False,New Brunswick,A/blue-winged teal/New Brunswick/00770/2010,H3N8
15,2011-08-19,USA,Mallard/Avian,False,Ohio,A/mallard/Ohio/11OS2224/2011,H1N1
16,2011-10-02,USA,Blue-Winged Teal/Avian,False,Wisconsin,A/blue-winged teal/Wisconsin/11OS3027/2011,H4N6
17,2011-08-18,USA,Green-Winged Teal/Avian,False,Interior Alaska,A/American green-winged teal/Interior Alaska/11BM03479/2011,H4N6
18,2010-09-16,Canada,American Black Duck/Avian,False,New Brunswick,A/American black duck/New Brunswick/00986/2010,H4N6
19,2008-01-19,India,Chicken/Avian,False,West Bengal,A/chicken/West Bengal/81760/2008,H5N1
20,2012-05-20,,Ruddy Turnstone/Avian,True,Iceland,A/ruddy turnstone/Iceland/1946/2012,H2N7
21,2007-09-10,USA,Northern Shoveler/Avian,False,Interior Alaska,A/northern shoveler/Interior Alaska/7MP1081/2007,H1N1
22,2008-11-23,USA,Green-Winged Teal/Avian,False,California,A/green-winged teal/California/6990/2008,H6N1
23,2009-11-04,,Mallard/Avian,False,Sweden,A/mallard/Sweden/101111/2009,H11N9
24,2007-09-03,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/7MP1757/2007,H3N8
25,2012-01-10,Georgia,Mallard/Avian,False,Republic of Georgia,A/mallard/Republic of Georgia/1/2012,H1N1
26,2009-07-29,USA,Green-Winged Teal/Avian,False,Interior Alaska,A/American green-winged teal/Interior Alaska/9BM5045R0/2009,H8N4
27,2010-03-01,Egypt,Duck/Avian,False,El Fayoum,A/duck/El Fayoum/CAI1/2010,H5N1
28,2011-11-13,USA,Northern Shoveler/Avian,False,Illinois,A/northern shoveler/Illinois/11OS4404/2011,H7N3
29,2011-07-25,USA,Duck/Avian,False,Interior Alaska,A/duck/Interior Alaska/11PG00451/2011,H2N3
30,2010-07-26,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/10BM05860R0/2010,H7N3
31,2011-09-10,USA,American Wigeon/Avian,False,Interior Alaska,A/American wigeon/Interior Alaska/11CH00036/2011,H4N6
32,2011-10-30,USA,Mallard/Avian,False,Wisconsin,A/mallard/Wisconsin/11OS3578/2011,H10N7
33,2010-09-26,USA,Mallard/Avian,False,Wisconsin,A/mallard/Wisconsin/10OS2538/2010,H3N2
34,2011-10-03,,Duck/Avian,True,Japan,A/duck/Japan/11UO0008/2011,H5N2
35,2010-09-07,Canada,Gadwall/Avian,False,Nova Scotia,A/gadwall/Nova Scotia/00786/2010,H3N8
36,2012-07-23,USA,Mallard/Avian,False,California,A/mallard/California/2923/2012,H3N8
37,2009-01-03,USA,Gadwall/Avian,True,Arizona,A/gadwall/Arizona/A00663934/2009,H7N7
38,2010-01-17,USA,Northern Shoveler/Avian,True,Mississippi,A/northern shoveler/Mississippi/397/2010,H1N3
39,2012-06-06,China,Duck/Avian,False,Guangxi,A/duck/Guangxi/S2090/2012,H4N6
40,2009-08-20,Canada,Mallard/Avian,True,Alberta,A/mallard/Alberta/289/2009,H2N9
41,2010-08-08,Canada,Green-Winged Teal/Avian,False,New Brunswick,A/green-winged teal/New Brunswick/00335/2010,H3N8
42,2009-08-04,USA,Mallard/Avian,False,California,A/mallard/California/5359/2009,H5N2
43,2009-09-11,Canada,American Black Duck/Avian,False,New Brunswick,A/American black duck/New Brunswick/03552/2009,H4N6
44,2012-09-15,USA,Blue-Winged Teal/Avian,False,Ohio,A/blue-winged teal/Ohio/12OS2154/2012,H3N2
45,2010-08-12,Canada,American Black Duck/Avian,False,New Brunswick,A/American black duck/New Brunswick/00469/2010,H4N6
46,2012-11-10,USA,Gadwall/Avian,False,Ohio,A/gadwall/Ohio/12OS5632/2012,H5N2
47,2009-08-02,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM6039R0/2009,H4N6
48,2012-01-29,Georgia,Mallard/Avian,True,Republic of Georgia,A/mallard/Republic of Georgia/2/2012,H2N3
49,2008-09-11,USA,Green-Winged Teal/Avian,False,Minnesota,A/green-winged teal/Minnesota/Sg-01000/2008,H3N6
50,2011-12-09,USA,American Green-Winged Teal/Avian,False,Mississippi,A/American green-winged teal/Mississippi/11OS5903/2011,H4N6
51,2007-09-20,Canada,Green-Winged Teal/Avian,True,New Brunswick,A/green-winged teal/New Brunswick/02593/2007,H3N8
52,2007-09-04,USA,Northern Shoveler/Avian,False,Interior Alaska,A/northern shoveler/Interior Alaska/7MP1766/2007,H3N8
53,2009-09-12,USA,Northern Pintail/Avian,False,Minnesota,A/northern pintail/Minnesota/AI09-4322/2009,H3N8
54,2008-10-19,USA,Mallard/Avian,True,California,A/mallard/California/8118/2008,H11N9
55,2007-09-18,Canada,American Black Duck/Avian,False,New Brunswick,A/American black duck/New Brunswick/02496/2007,H3N8
56,2011-05-01,China,Chicken/Avian,False,Shandong,A/chicken/Shandong/05/2011,H9N2
57,2008-10-29,USA,Greater White-Fronted Goose/Avian,False,California,A/greater white-fronted goose/California/6365/2008,H6N1
58,2009-09-28,USA,Mallard/Avian,False,New Jersey,A/mallard/New Jersey/AI09-6434/2009,H6N2
59,2010-05-14,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/10BM00303R0/2010,H3N8
60,2008-01-01,China,Chicken/Avian,True,Hebei,A/chicken/Hebei/TS/2008,H9N2
61,2009-06-22,Russia,Grebe/Avian,False,Tyva,A/grebe/Tyva/3/2009,H5N1
62,2010-07-30,USA,Mallard/Avian,False,California,A/mallard/California/1297/2010,H4N6
63,2010-08-12,Canada,American Black Duck/Avian,False,New Brunswick,A/American black duck/New Brunswick/00500/2010,H3N8
64,2010-08-15,Canada,American Black Duck/Avian,False,New Brunswick,A/American black duck/New Brunswick/00587/2010,H4N6
65,2009-08-16,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM10218R0/2009,H10N7
66,2009-05-20,USA,Shorebird/Avian,False,Delaware,A/shorebird/Delaware/300/2009,H1N1
67,2009-08-12,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM9153R0/2009,H3N8
68,2009-11-11,,Blue-Winged Teal/Avian,False,Guatemala,A/blue-winged teal/Guatemala/CIP049-11/2009,H11N2
69,2007-10-18,,Mallard/Avian,False,Sweden,A/mallard/Sweden/68583/2007,H4N6
70,2011-10-14,,Duck/Avian,True,Japan,A/duck/Japan/11OG1083/2011,H5N2
71,2007-08-11,Canada,American Black Duck/Avian,True,New Brunswick,A/American black duck/New Brunswick/02399/2007,Mixed
72,2007-05-10,USA,Least Sandpiper/Avian,False,South Central Alaska,A/least sandpiper/South Central Alaska/7KW0434/2007,H4N8
73,2009-10-05,USA,American Black Duck/Avian,True,Wisconsin,A/American black duck/Wisconsin/2542/2009,H4N2
74,2011-10-30,USA,Mallard/Avian,False,Wisconsin,A/mallard/Wisconsin/11OS3577/2011,H6N5
75,2007-11-04,USA,Northern Shoveler/Avian,True,California,A/northern shoveler/California/44363-082/2007,H11N9
76,2010-11-01,China,Chicken/Avian,False,Hebei,A/chicken/Hebei/ZR/2010,H9N2
77,2011-01-21,China,Chicken/Avian,False,Jiangsu,A/chicken/Jiangsu/B20/2011,H9N2
78,2007-09-19,Canada,American Black Duck/Avian,False,New Brunswick,A/American black duck/New Brunswick/02726/2007,H4N6
79,2012-03-23,China,Duck/Avian,True,Hunan,A/duck/Hunan/S1256/2012,H3N8
80,2009-07-29,USA,Northern Pintail/Avian,False,Interior Alaska,A/northern pintail/Interior Alaska/9BM5053R0/2009,H10N7
81,2008-11-16,,Mallard/Avian,False,Sweden,A/mallard/Sweden/79984/2008,H11N9
82,2009-08-15,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/9BM9983R0/2009,H4N6
83,2009-07-13,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/9BM2536R0/2009,H4N6
84,2010-12-12,USA,Gadwall/Avian,False,Missouri,A/gadwall/Missouri/10OS4731/2010,H7N3
85,2007-10-28,USA,Northern Shoveler/Avian,False,California,A/northern shoveler/California/HKWF216/2007,H6N1
86,2008-09-04,USA,Blue-Winged Teal/Avian,True,Minnesota,A/blue-winged teal/Minnesota/Sg-00899/2008,H10N6
87,2007-12-02,USA,Northern Shoveler/Avian,True,California,A/northern shoveler/California/HKWF1128C/2007,H2N7
88,2008-11-08,USA,American Wigeon/Avian,False,California,A/American wigeon/California/8910/2008,H6N1
89,2011-09-25,,Blue-Winged Teal/Avian,False,Canada,A/blue-winged teal/Canada/3304/2011,H4N6
90,2009-05-21,USA,Shorebird/Avian,False,Delaware Bay,A/shorebird/Delaware Bay/500/2009,H10N7
91,2008-12-01,China,Chicken/Avian,False,Henan,A/chicken/Henan/12/2008,H9N2
92,2009-02-03,USA,Green-Winged Teal/Avian,False,Texas,A/American green winged teal/Texas/A00604024/2009,H7N3
93,2010-08-06,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/10BM09164R0/2010,H3N8
94,2007-09-19,Canada,Mallard-Black Duck Hybrid/Avian,False,New Brunswick,A/mallard-black duck hybrid/New Brunswick/02724/2007,H4N6
95,2009-07-15,USA,Mallard/Avian,False,Interior Alaska,A/mallard/Interior Alaska/9BM2705R0/2009,H8N4
96,2010-09-14,Canada,American Black Duck/Avian,False,New Brunswick,A/American black duck/New Brunswick/00909/2010,H10N7
