,edge_type,pwi,segment 1 pwi,segment 2 pwi,segment 3 pwi,segment 4 pwi,segment 5 pwi,segment 6 pwi,segment 7 pwi,segment 8 pwi,segments,sink,sink_collection_date,sink_country,sink_host_species,sink_reassortant,sink_state,sink_subtype,source,source_collection_date,source_country,source_host_species,source_reassortant,source_state,source_subtype
0,full_complement,7.808378,0.97914,0.969344,0.961051,0.984275,0.939672,0.993711,0.993902,0.987283,"{1: 0.97914000000000001, 2: 0.96934399999999998, 3: 0.96105099999999999, 4: 0.98427500000000001, 5: 0.93967199999999995, 6: 0.99371100000000001, 7: 0.99390199999999995, 8: 0.98728300000000002}",A/gadwall/Illinois/3860/2009,2009-11-15,USA,Gadwall/Avian,False,Illinois,H6N1,A/greater white-fronted goose/California/44358-095/2007,2007-10-27,USA,Goose/Avian,False,California,H6N1
1,full_complement,7.831901,0.993047,0.948336,0.977982,0.990692,0.941639,0.991626,0.998984,0.989595,"{1: 0.99304700000000001, 2: 0.94833599999999996, 3: 0.97798200000000002, 4: 0.99069200000000002, 5: 0.941639, 6: 0.99162600000000001, 7: 0.99898399999999998, 8: 0.989595}",A/mallard/Minnesota/Sg-00837/2008,2008-09-04,USA,Mallard/Avian,False,Minnesota,H6N1,A/greater white-fronted goose/California/44358-095/2007,2007-10-27,USA,Goose/Avian,False,California,H6N1
2,full_complement,7.733425999999999,0.978705,0.974957,0.990489,0.9563699999999999,0.939672,0.942777,0.973577,0.976879,"{1: 0.97870500000000005, 2: 0.97495699999999996, 3: 0.99048899999999995, 4: 0.95636999999999994, 5: 0.93967199999999995, 6: 0.94277699999999998, 7: 0.97357700000000003, 8: 0.97687900000000005}",A/long-tailed duck/Wisconsin/11OS4567/2011,2011-12-01,USA,Duck/Avian,False,Wisconsin,H6N1,A/greater white-fronted goose/California/44358-095/2007,2007-10-27,USA,Goose/Avian,False,California,H6N1
3,full_complement,7.914296,0.983007,1.0,0.968722,0.998831,0.998701,1.0,0.965035,1.0,"{1: 0.98300699999999996, 2: 1.0, 3: 0.96872199999999997, 4: 0.99883100000000002, 5: 0.99870099999999995, 6: 1.0, 7: 0.96503499999999998, 8: 1.0}",A/mallard/Sweden/80190/2008,2008-11-19,,Mallard/Avian,False,Sweden,H4N2,A/mallard/Sweden/79423/2008,2008-11-15,,Mallard/Avian,False,Sweden,H4N2
4,full_complement,7.7466919999999995,0.942408,0.97323,0.958048,0.973623,0.966883,0.968341,0.9815,0.982659,"{1: 0.94240800000000002, 2: 0.97323000000000004, 3: 0.95804800000000001, 4: 0.97362300000000002, 5: 0.96688300000000005, 6: 0.96834100000000001, 7: 0.98150000000000004, 8: 0.98265899999999995}",A/mallard/Iowa/A00558620/2008,2008-10-18,USA,Mallard/Avian,False,Iowa,H7N3,A/blue winged teal/Missouri/A00624483/2008,2008-09-08,USA,Blue-Winged Teal/Avian,False,Missouri,H7N3
5,reassortant,7.810892000000001,,,,,0.99026,0.986695,0.98503,0.989449,"{8: 0.98944900000000002, 5: 0.99026000000000003, 6: 0.98669499999999999, 7: 0.98502999999999996}",A/northern shoveler/California/9781/2008,2008-12-14,USA,Northern Shoveler/Avian,True,California,H1N3,A/blue winged teal/Missouri/A00624483/2008,2008-09-08,USA,Blue-Winged Teal/Avian,False,Missouri,H7N3
6,full_complement,7.761856,0.957679,0.981795,0.950023,0.979484,0.959091,0.990896,0.981038,0.96185,"{1: 0.95767899999999995, 2: 0.98179499999999997, 3: 0.95002299999999995, 4: 0.97948400000000002, 5: 0.95909100000000003, 6: 0.990896, 7: 0.98103799999999997, 8: 0.96184999999999998}",A/green-winged teal/California/11275/2008,2008-12-13,USA,Green-Winged Teal/Avian,False,California,H7N3,A/blue winged teal/Missouri/A00624483/2008,2008-09-08,USA,Blue-Winged Teal/Avian,False,Missouri,H7N3
7,full_complement,7.854565999999999,0.994298,0.992084,0.982799,0.991682,0.961924,0.992862,0.973523,0.965394,"{1: 0.99429800000000002, 2: 0.99208399999999997, 3: 0.98279899999999998, 4: 0.99168199999999995, 5: 0.961924, 6: 0.99286200000000002, 7: 0.97352300000000003, 8: 0.96539399999999997}",A/chicken/Hunan/2351/2009,2009-12-02,China,Chicken/Avian,False,Hunan,H9N2,A/chicken/Hunan/C3247/2009,2009-10-20,China,Chicken/Avian,False,Hunan,H9N2
8,full_complement,7.880078,0.925439,0.991645,0.993956,0.994652,0.992652,0.995004,0.99389,0.99284,"{1: 0.92543900000000001, 2: 0.991645, 3: 0.99395599999999995, 4: 0.99465199999999998, 5: 0.99265199999999998, 6: 0.995004, 7: 0.99389000000000005, 8: 0.99283999999999994}",A/chicken/Shaanxi/11/2012,2012-11-17,China,Chicken/Avian,False,Shaanxi,H9N2,A/chicken/Hunan/C3247/2009,2009-10-20,China,Chicken/Avian,False,Hunan,H9N2
9,full_complement,7.999136,1.0,0.999136,1.0,1.0,1.0,1.0,1.0,1.0,"{1: 1.0, 2: 0.99913600000000002, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 1.0, 8: 1.0}",A/American black duck/New Brunswick/03408/2009,2009-08-10,Canada,American Black Duck/Avian,False,New Brunswick,H3N8,A/American black duck/New Brunswick/03398/2009,2009-08-09,Canada,American Black Duck/Avian,False,New Brunswick,H3N8
